1;2760.00;10.48;1563.00;small
1;2791.00;10.10;1571.00;small
2;3986.00;10.75;1015.00;small
2;4243.00;10.20;1016.00;small
3;4504.00;12.55;1150.00;small
3;4691.00;12.20;1365.00;small
4;4537.00;11.90;1568.00;small
4;4346.00;14.60;1501.00;small
5;4804.00;12.10;1260.00;small
5;4784.00;13.80;1327.00;small
6;4720.00;11.78;1733.00;small
6;4941.00;9.80;1499.00;small
7;3865.00;9.80;1709.00;big
7;4156.00;10.20;1684.00;big
8;3612.00;10.57;1648.00;big
8;3460.00;9.88;1750.00;small
8;3656.00;9.90;1748.00;small
9;3560.00;10.03;1548.00;small
9;3490.00;10.20;1483.00;small
10;3520.00;13.35;1359.00;small
10;3450.00;12.23;1412.00;small
11;3253.00;10.23;1514.00;big
11;3346.00;9.80;1489.00;big
12;3062.00;13.73;1411.00;small
12;3128.00;11.45;1375.00;small
13;3159.00;12.50;1459.00;big
13;3096.00;9.80;1457.00;big
14;3152.00;10.48;1538.00;big
14;3058.00;12.05;1520.00;big
14;3105.00;9.93;1578.00;big
15;3250.00;9.90;1587.00;big
15;3185.00;10.07;1655.00;big
16;3426.00;9.88;1605.00;big
16;3325.00;10.28;1752.00;big
17;3089.00;10.20;1810.00;big
18;2962.00;9.62;1590.00;small
18;3019.00;9.70;1571.00;small
19;2931.00;10.90;1527.00;big
19;2973.00;11.35;1493.00;big
20;2884.00;9.95;1535.00;big
20;2901.00;9.57;1572.00;big
21;2814.00;10.25;1475.00;big
21;2890.00;10.82;1481.00;big
22;2856.00;12.90;1419.00;small
22;2842.00;10.23;1391.00;small
22;2803.00;10.35;1398.00;small
23;3050.00;12.57;1337.00;small
23;2991.00;11.03;1389.00;small
24;1245.00;9.50;119.00;small
24;1155.00;9.50;410.00;small
25;2532.00;9.50;1241.00;small
25;2588.00;9.50;1347.00;small
26;2413.00;9.50;1461.00;small
26;2285.00;9.50;1721.00;small
26;2351.00;9.50;1620.00;small
27;1867.00;9.50;1978.00;small
27;2078.00;9.50;1765.00;small
28;2234.00;9.50;1527.00;small
28;2203.00;9.50;1362.00;small
28;2321.00;9.50;1332.00;small
29;1606.00;9.50;1175.00;big
29;1848.00;9.50;1095.00;big
30;1778.00;9.50;1570.00;big
30;1701.00;9.50;1492.00;big
31;1875.00;9.50;1693.00;big
31;1868.00;9.50;1583.00;big
32;2089.00;9.50;1303.00;big
32;2034.00;9.50;1461.00;big
33;1863.00;9.50;1433.00;small
33;1804.00;9.50;1309.00;small
34;2355.00;9.50;1038.00;big
34;2265.00;9.50;1153.00;big
35;2085.00;9.50;1142.00;big
35;2122.00;9.50;935.00;big
35;1951.00;9.50;1003.00;big
35;1945.00;9.50;1143.00;big
36;3782.00;9.50;509.00;big
36;3854.00;9.50;724.00;big
37;2296.00;9.50;872.00;big
37;2491.00;9.50;826.00;big
38;2891.00;9.50;361.00;big
38;2844.00;9.50;621.00;big
38;2633.00;9.50;515.00;big
39;5092.00;9.50;896.00;big
39;5013.00;10.40;1053.00;big
39;5186.00;9.50;1033.00;big
40;2786.00;9.50;1712.00;big
40;2800.00;9.50;1783.00;big
40;2821.00;9.50;1650.00;big
40;2822.00;9.50;1598.00;big
41;2198.00;9.50;94.00;big
41;1962.00;9.50;120.00;big
41;2438.00;9.50;108.00;big
42;4410.00;9.50;754.00;small
42;4412.00;9.50;798.00;small
43;3099.00;10.00;1685.00;big
43;3137.00;9.50;1742.00;big
44;4485.00;9.50;132.00;big
44;4461.00;9.50;416.00;big
45;748.00;9.50;1471.00;big
45;578.00;9.50;1448.00;big
46;1502.00;9.50;1301.00;big
46;1619.00;9.50;1273.00;big
47;2955.00;9.50;1921.00;big
47;2882.00;9.50;1747.00;big
48;892.00;9.50;737.00;big
48;660.00;9.50;714.00;big
49;5594.00;9.50;947.00;big
49;129.00;9.50;868.00;big
50;3683.00;9.80;1074.00;big
50;3609.00;9.50;1085.00;big
51;4264.00;9.50;570.00;big
51;4072.00;9.50;529.00;big
52;443.00;9.50;122.00;big
53;665.00;9.50;333.00;big
53;824.00;9.50;457.00;big
54;342.00;9.50;1730.00;big
54;642.00;9.50;1686.00;big
55;3079.00;9.50;1357.00;big
55;3036.00;9.50;1383.00;big
56;273.00;9.50;695.00;big
56;439.00;9.50;729.00;big
57;348.00;9.50;1427.00;big
57;113.00;9.50;1486.00;big
58;5193.00;9.50;1184.00;big
58;5242.00;9.50;1357.00;big
59;3150.00;10.35;1319.00;big
59;3194.00;9.50;1272.00;big
60;2853.00;9.50;100.00;big
60;2649.00;9.50;149.00;big
61;688.00;9.50;1135.00;big
61;892.00;9.50;1047.00;big
62;387.00;9.50;1901.00;big
62;717.00;9.50;1837.00;big
63;4348.00;9.50;738.00;big
63;4474.00;9.50;653.00;big
64;4117.00;9.50;288.00;big
64;4184.00;9.50;93.00;big
65;3919.00;10.80;1422.00;big
65;3682.00;11.30;1483.00;big
66;5421.00;9.50;360.00;big
66;5280.00;9.50;520.00;big
67;4677.00;14.25;606.00;big
67;4773.00;9.50;618.00;big
68;3870.00;9.50;200.00;big
68;3617.00;9.50;169.00;big
69;5448.00;9.50;1500.00;big
69;11.00;9.50;1526.00;big
70;1198.00;9.50;914.00;small
70;1173.00;9.50;690.00;small
71;3047.00;9.50;1626.00;big
71;3092.00;9.50;1622.00;big
72;2976.00;9.50;1626.00;big
72;2962.00;9.50;1693.00;big
73;48.00;9.50;1185.00;big
73;5475.00;9.50;1177.00;big
74;329.00;9.50;445.00;big
74;461.00;11.70;366.00;big
75;4871.00;9.50;789.00;big
75;4879.00;9.50;937.00;big
76;4712.00;9.50;1191.00;big
76;4725.00;9.50;1289.00;big
77;78.00;9.50;670.00;small
77;5452.00;10.35;746.00;small
78;2901.00;9.50;1649.00;big
78;2883.00;9.50;1720.00;big
79;2836.00;9.50;1555.00;big
79;2754.00;9.50;1518.00;big
80;2210.00;9.50;377.00;big
