510;arms_factory;1842.00;9.80;308.00;2.76;0
510;arms_factory;1876.00;9.70;378.00;5.43;0
510;arms_factory;1903.00;10.30;398.00;2.16;0
510;arms_factory;1853.00;9.70;344.00;4.83;0
510;arms_factory;1861.00;9.70;350.00;1.21;0
510;arms_factory;1822.00;9.75;368.00;3.87;0
510;industrial_complex;1901.00;10.30;420.00;0.60;0
510;industrial_complex;1875.00;9.70;329.00;1.82;0
510;industrial_complex;1923.00;9.73;396.00;5.94;0
510;industrial_complex;1807.00;10.70;329.00;2.32;0
510;industrial_complex;1894.00;9.78;385.00;3.88;0
510;industrial_complex;1852.00;9.70;319.00;1.72;0
510;air_base;1852.00;9.70;354.00;4.38;0
510;naval_base;1885.00;9.55;312.00;1.07;5951
510;naval_base;1890.00;9.55;326.00;0.14;5951
510;bunker;1847.00;9.70;374.00;0.16;0
510;bunker;1922.00;9.70;394.00;1.37;0
510;bunker;1854.00;9.70;332.00;4.39;0
510;bunker;1810.00;10.53;331.00;0.77;0
510;bunker;1894.00;10.35;403.00;4.89;0
510;bunker;1866.00;9.70;363.00;6.10;0
510;bunker;1893.00;9.70;353.00;2.83;0
510;bunker;1897.00;9.75;370.00;0.67;0
510;bunker;1823.00;9.80;311.00;1.88;0
510;bunker;1866.00;9.70;345.00;6.01;0
510;bunker;1878.00;9.70;354.00;1.28;0
510;bunker;1843.00;9.80;355.00;3.95;0
510;bunker;1949.00;10.60;428.00;0.33;0
510;bunker;1818.00;9.80;362.00;4.45;0
510;bunker;1867.00;9.70;316.00;4.55;0
510;coastal_bunker;1887.00;9.53;302.00;1.07;0
510;coastal_bunker;1890.00;9.55;327.00;0.14;0
510;dockyard;1890.00;9.55;323.00;1.07;0
510;anti_air_building;1887.00;10.30;391.00;4.45;0
510;anti_air_building;1904.00;10.30;417.00;0.84;0
510;anti_air_building;1885.00;9.70;336.00;3.50;0
510;synthetic_refinery;1872.00;9.70;379.00;5.06;0
510;nuclear_reactor;1818.00;9.90;354.00;5.57;0
510;rocket_site;1843.00;9.80;333.00;4.66;0
510;radar_station;1883.00;9.70;375.00;5.94;0
510;fuel_silo;1855.00;9.70;357.00;1.40;0
510;supply_node;1866.00;9.73;336.00;3.83;0
510;supply_node;1865.00;9.70;372.00;5.31;0
510;supply_node;1844.00;9.80;349.00;1.97;0
510;supply_node;1846.00;9.80;325.00;6.01;0
510;supply_node;1893.00;9.75;382.00;1.20;0
510;supply_node;1825.00;9.80;309.00;4.13;0
510;supply_node;1918.00;10.30;401.00;0.44;0
510;supply_node;1876.00;9.70;317.00;3.37;0
510;supply_node;1886.00;9.75;361.00;0.03;0
510;supply_node;1821.00;9.70;363.00;2.61;0
510;supply_node;1818.00;10.00;332.00;5.55;0
510;supply_node;1951.00;10.63;428.00;0.74;0
510;supply_node;1889.00;9.70;340.00;4.78;0
510;supply_node;1896.00;10.38;407.00;6.26;0
510;supply_node;1845.00;9.70;374.00;2.92;0
22;floating_harbor;2874.13;9.50;1381.05;-3.27;11877
23;floating_harbor;2771.18;9.50;1444.12;-4.12;11600
44;floating_harbor;3103.18;9.50;1324.12;-4.12;11767
46;floating_harbor;3261.00;9.50;1402.40;-2.11;9635
47;floating_harbor;3192.00;9.50;1315.00;-0.90;7127
115;floating_harbor;3018.13;9.50;1294.26;-0.46;10074
116;floating_harbor;3022.05;9.50;1254.95;0.79;12003
119;floating_harbor;2708.13;9.50;1634.26;-0.46;3379
120;floating_harbor;2705.13;9.50;1661.74;-2.68;11266
124;floating_harbor;3083.63;9.50;1681.47;0.67;6258
141;floating_harbor;3103.26;9.50;1741.13;-1.11;11278
156;floating_harbor;3073.13;9.50;1319.26;-0.46;12098
